2026-01-27 08:43:14,262 INFO    MainThread:2234886 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_setup.py:_flush():81] Configure stats pid to 2234886
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /mnt/localssd/Pi3_training/wandb/run-20260127_084314-wzlmt15d/logs/debug.log
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /mnt/localssd/Pi3_training/wandb/run-20260127_084314-wzlmt15d/logs/debug-internal.log
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_init.py:init():844] calling init triggers
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-01-27 08:43:14,263 INFO    MainThread:2234886 [wandb_init.py:init():892] starting backend
2026-01-27 08:43:14,677 INFO    MainThread:2234886 [wandb_init.py:init():895] sending inform_init request
2026-01-27 08:43:14,832 INFO    MainThread:2234886 [wandb_init.py:init():903] backend started and connected
2026-01-27 08:43:14,837 INFO    MainThread:2234886 [wandb_init.py:init():973] updated telemetry
2026-01-27 08:43:15,016 INFO    MainThread:2234886 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-01-27 08:43:15,368 INFO    MainThread:2234886 [wandb_init.py:init():1044] starting run threads in backend
2026-01-27 08:43:15,510 INFO    MainThread:2234886 [wandb_run.py:_console_start():2529] atexit reg
2026-01-27 08:43:15,510 INFO    MainThread:2234886 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-01-27 08:43:15,510 INFO    MainThread:2234886 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-01-27 08:43:15,510 INFO    MainThread:2234886 [wandb_run.py:_redirect():2469] Redirects installed.
2026-01-27 08:43:15,514 INFO    MainThread:2234886 [wandb_init.py:init():1084] run started, returning control to user process
